id,value
Pauderney_Avelino_(DEM_-_AM).sim.sim,1
Paulão_(PT_-_AL).não.sim,1
Paulo_Abi-Ackel_(PSDB_-_MG).sim.sim,1
Paulo_Azi_(DEM_-_BA).sim.sim,1
Paulo_Feijó_(PR_-_RJ).sim.sim,1
Paulo_Foletto_(PSB_-_ES).sim.sim,1
Paulo_Freire_(PR_-_SP).sim.sim,1
Paulo_Magalhães_(PSD_-_BA).não.sim,1
Paulo_Maluf_(PP_-_SP).sim.sim,1
Paulo_Martins_(PSDB_-_PR).sim.sim,1
Paulo_Pereira_Da_Silva_(SD_-_SP).sim.não,1
Paulo_Pimenta_(PT_-_RS).não.sim,1
Paulo_Teixeira_(PT_-_SP).não.sim,1
Pedro_Chaves_(PMDB_-_GO).sim.ausente,1
Pedro_Cunha_Lima_(PSDB_-_PB).sim.sim,1
Pedro_Fernandes_(PTB_-_MA).não.sim,1
Pedro_Paulo_(PMDB_-_RJ).sim.sim,1
Pedro_Uczai_(PT_-_SC).não.sim,1
Pedro_Vilela_(PSDB_-_AL).sim.sim,1
Pepe_Vargas_(PT_-_RS).não.sim,1
Pompeo_De_Mattos_(PDT_-_RS).abstenção.sim,1
Pr._Marco_Feliciano_(PSC_-_SP).sim.não,1
Professor_Victório_Galli_(PSC_-_MT).sim.não_está_em_exercício,1
Professora_Dorinha_Seabra_Rezende_(DEM_-_TO).sim.sim,1
Professora_Marcivania_(PCdoB_-_AP).não.sim,1
Rafael_Motta_(PSB_-_RN).sim.sim,1
Raimundo_Gomes_De_Matos_(PSDB_-_CE).sim.sim,1
Raquel_Muniz_(PSD_-_MG).sim.ausente,1
Reginaldo_Lopes_(PT_-_MG).não.sim,1
Rejane_Dias_(PT_-_PI).não.não_está_em_exercício,1
Remídio_Monai_(PR_-_RR).sim.sim,1
Renata_Abreu_(PTN_-_SP).sim.sim,1
Renato_Molling_(PP_-_RS).sim.sim,1
Renzo_Braz_(PP_-_MG).sim.sim,1
Ricardo_Barros_(PP_-_PR).sim.não_está_em_exercício,1
Ricardo_Izar_(PP_-_SP).sim.sim,1
Ricardo_Teobaldo_(PTN_-_PE).não.sim,1
Ricardo_Tripoli_(PSDB_-_SP).sim.sim,1
Roberto_Alves_(PRB_-_SP).sim.sim,1
Roberto_Balestra_(PP_-_GO).sim.sim,1
Roberto_Britto_(PP_-_BA).não.sim,1
Roberto_De_Lucena_(PV_-_SP).sim.sim,1
Roberto_Góes_(PDT_-_AP).não.ausente,1
Roberto_Sales_(PRB_-_RJ).sim.sim,1
Rocha_(PSDB_-_AC).sim.sim,1
Rodrigo_De_Castro_(PSDB_-_MG).sim.sim,1
Rodrigo_Garcia_(DEM_-_SP).sim.não_está_em_exercício,1
Rodrigo_Maia_(DEM_-_RJ).sim.art._17,1
Rodrigo_Martins_(PSB_-_PI).sim.sim,1
Rodrigo_Pacheco_(PMDB_-_MG).sim.sim,1
Rogério_Marinho_(PSDB_-_RN).sim.sim,1
Rogério_Peninha_Mendonça_(PMDB_-_SC).sim.ausente,1
Rogério_Rosso_(PSD_-_DF).sim.sim,1
Rômulo_Gouveia_(PSD_-_PB).sim.sim,1
Ronaldo_Benedet_(PMDB_-_SC).sim.sim,1
Ronaldo_Carletto_(PP_-_BA).não.sim,1
Ronaldo_Fonseca_(PROS_-_DF).sim.sim,1
Ronaldo_Lessa_(PDT_-_AL).não.sim,1
Ronaldo_Martins_(PRB_-_CE).sim.sim,1
Ronaldo_Nogueira_(PTB_-_RS).sim.não_está_em_exercício,1
Rôney_Nemer_(PP_-_DF).sim.abstenção,1
Rosangela_Gomes_(PRB_-_RJ).sim.sim,1
Rubens_Bueno_(PPS_-_PR).sim.sim,1
Rubens_Otoni_(PT_-_GO).não.sim,1
Rubens_Pereira_Júnior_(PCdoB_-_MA).não.sim,1
Ságuas_Moraes_(PT_-_MT).não.sim,1
Samuel_Moreira_(PSDB_-_SP).sim.não_está_em_exercício,1
Sandro_Alex_(PSD_-_PR).sim.sim,1
Saraiva_Felipe_(PMDB_-_MG).sim.abstenção,1
Sarney_Filho_(PV_-_MA).sim.não_está_em_exercício,1
Sebastião_Oliveira_(PR_-_PE).abstenção.não_está_em_exercício,1
Sérgio_Brito_(PSD_-_BA).não.sim,1
Sérgio_Moraes_(PTB_-_RS).sim.ausente,1
Sérgio_Reis_(PRB_-_SP).sim.sim,1
Sergio_Souza_(PMDB_-_PR).sim.sim,1
Sergio_Vidigal_(PDT_-_ES).sim.sim,1
Sergio_Zveiter_(PMDB_-_RJ).sim.sim,1
Shéridan_(PSDB_-_RR).sim.sim,1
Sibá_Machado_(PT_-_AC).não.não_está_em_exercício,1
Silas_Câmara_(PRB_-_AM).sim.sim,1
Silvio_Costa_(PTdoB_-_PE).não.sim,1
Silvio_Torres_(PSDB_-_SP).sim.sim,1
Simão_Sessim_(PP_-_RJ).sim.sim,1
Simone_Morgado_(PMDB_-_PA).não.sim,1
Soraya_Santos_(PMDB_-_RJ).sim.ausente,1
Sóstenes_Cavalcante_(DEM_-_RJ).sim.sim,1
Stefano_Aguiar_(PSD_-_MG).sim.sim,1
Subtenente_Gonzaga_(PDT_-_MG).sim.sim,1
Tadeu_Alencar_(PSB_-_PE).sim.sim,1
Takayama_(PSC_-_PR).sim.ausente,1
Tampinha_(PSD_-_MT).sim.sim,1
Tenente_Lúcio_(PSB_-_MG).sim.sim,1
Tereza_Cristina_(PSB_-_MS).sim.sim,1
Thiago_Peixoto_(PSD_-_GO).sim.sim,1
Tia_Eron_(PRB_-_BA).sim.sim,1
Tiririca_(PR_-_SP).sim.sim,1
Toninho_Pinheiro_(PP_-_MG).sim.sim,1
Toninho_Wandscheer_(PROS_-_PR).sim.ausente,1
Uldurico_Junior_(PV_-_BA).sim.sim,1
Valadares_Filho_(PSB_-_SE).sim.não_está_em_exercício,1
Valdir_Colatto_(PMDB_-_SC).sim.sim,1
Valmir_Assunção_(PT_-_BA).não.sim,1
Valmir_Prascidelli_(PT_-_SP).não.sim,1
